profileId,testId,modifiedDateUtc,testDateUtc,testTypeId,testTypeName,notes,device,leftAvgForce,leftImpulse,leftMaxForce,leftTorque,leftCalibration,leftRepetitions,rightAvgForce,rightImpulse,rightMaxForce,rightTorque,rightCalibration,rightRepetitions,tenant_id
9cd86ccc-5359-4737-a6af-5216f9e8059a,710db7b2-a619-4cb9-98e6-998880f6cf83,2023-01-03 21:43:43.673000+00:00,2023-01-03 21:43:43.406000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,248.33333333333331,2043.0200000000018,305.0,119.4075,0.0,3,256.66666666666663,1972.2050000000008,312.5,122.34375,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
1b43cb76-9be4-489f-a10c-c0fe58937649,a6f214fb-6a2e-4b8a-8e6d-683512ce8a4b,2023-01-10 03:49:09.853000+00:00,2023-01-10 03:48:42.416000+00:00,f9755ba4-17cf-4c47-9c3d-a8995905073d,ISO Prone,,NordBord-1613,197.66666666666669,1345.83,207.5,71.89875,0.0,3,191.41666666666666,1286.8999999999999,197.5,68.43375,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
1b43cb76-9be4-489f-a10c-c0fe58937649,c93cdd8c-0147-4aba-9c27-ae01b06f95b8,2023-01-10 03:51:10.161000+00:00,2023-01-10 03:50:12.526000+00:00,1ccf7d5f-307d-4d1f-9fb3-1d8a9878d94a,ISO 30,,NordBord-1613,158.91666666666666,720.3749999999999,168.5,58.385250000000006,0.0,3,190.83333333333331,922.8149999999998,203.5,70.51275000000001,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
e19c69b2-5cc3-477f-9231-4d89e4f214d3,44a2d523-8f30-47cf-8e1f-dc9a47399fbc,2023-01-10 03:57:11.320000+00:00,2023-01-10 03:56:18.009000+00:00,f9755ba4-17cf-4c47-9c3d-a8995905073d,ISO Prone,,NordBord-1613,310.8333333333333,2088.03,319.75,133.815375,0.0,3,346.0,2669.2,348.75,145.951875,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
ef496913-c955-4e59-827c-81f43fbbae0e,f69ebc7e-487b-4aec-a0ce-c429df22599b,2023-01-30 22:49:02.769000+00:00,2023-01-30 22:49:02.345000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,267.41666666666663,3067.1,283.5,121.19624999999999,0.0,3,299.41666666666663,3058.6099999999988,315.25,134.769375,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
bb261a4b-b30f-4dc9-ad2b-e94d04d6ae30,4da5233b-3e47-469a-8e9a-5d1fa79684f9,2023-01-30 22:50:47.792000+00:00,2023-01-30 22:50:47.377000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,433.83333333333337,5972.3600000000015,472.25,180.635625,0.0,3,450.75,6136.685000000001,476.75,182.356875,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
95bca20b-7ec7-4d4c-861c-3c5ec38803e0,b62232b7-bd7b-4ebd-9618-9cc896462745,2023-01-30 22:52:54.146000+00:00,2023-01-30 22:52:53.674000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,321.4375,6771.640000000003,450.25,200.586375,0.0,4,271.0,7193.225000000006,329.5,146.79225,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
94e4c6d0-cabc-4113-8f6f-d7ed78c00344,0afb2ec8-4cf7-40b6-9f3d-de71dacd9723,2023-01-30 22:55:04.610000+00:00,2023-01-30 22:55:04.162000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,286.375,4428.205000000001,291.5,111.49875,0.0,2,301.75,4375.304999999998,312.25,119.435625,0.0,2,f1185650-fb79-44a0-8b4b-b2bf82d28c83
d7bfa483-dda7-404a-98c0-8316934e9b17,69287d0a-16a3-4839-ab06-12bfefe7dcd2,2023-01-30 22:56:44.773000+00:00,2023-01-30 22:56:44.378000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,382.0,4147.845,395.0,158.19750000000002,0.0,3,358.5,4393.789999999997,371.0,148.5855,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
2929d7f7-8683-4bfd-97db-cd33ae64f6d9,ff8321df-59d7-46e2-b65e-7e00717847fb,2023-01-30 22:58:54.995000+00:00,2023-01-30 22:58:54.558000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,461.25,5630.920000000002,481.0,214.2855,0.0,3,402.5833333333333,5621.6,411.0,183.1005,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
3d23f21c-248d-4286-ac62-0b61259e12cd,ca4f46c7-1f03-4b1e-bfc1-af4866cf7b7e,2023-01-30 23:00:59.273000+00:00,2023-01-30 23:00:58.790000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,464.1666666666667,6929.17,485.5,190.07325,0.0,3,468.4166666666667,7305.125,473.0,185.17950000000002,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
584f5b66-96d5-4b26-a651-84ed472ad07c,250972f8-6a32-4e3f-9778-8ce0762b25af,2023-01-30 23:02:22.886000+00:00,2023-01-30 23:02:22.409000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,339.3333333333333,3879.6900000000005,382.5,153.19125,0.0,3,337.5833333333333,3904.7749999999974,355.0,142.1775,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
